ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Snrpc	U1 small nuclear ribonucleoprotein C(Snrpc)	Mus musculus	NA	NA	GO:0000387~spliceosomal snRNP assembly,GO:0000395~mRNA 5'-splice site recognition,GO:0000398~mRNA splicing, via spliceosome,	GO:0000243~commitment complex,GO:0005634~nucleus,GO:0005685~U1 snRNP,GO:0015030~Cajal body,GO:0019013~viral nucleocapsid,GO:0030529~intracellular ribonucleoprotein complex,GO:0071004~U2-type prespliceosome,GO:0071010~prespliceosome,	GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003727~single-stranded RNA binding,GO:0003729~mRNA binding,GO:0008270~zinc ion binding,GO:0030619~U1 snRNA binding,GO:0030627~pre-mRNA 5'-splice site binding,GO:0046872~metal ion binding,GO:1990446~U1 snRNP binding,	IPR000690:Zinc finger, C2H2-type matrin,IPR003604:Zinc finger, U1-type,IPR013085:Zinc finger, U1-C type,IPR017340:U1 small nuclear ribonucleoprotein C,	mmu03040:Spliceosome,	PIRSF037969:U1 small nuclear ribonucleoprotein C,	SM00451:ZnF_U1,	Acetylation,Complete proteome,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Ribonucleoprotein,RNA-binding,Viral nucleoprotein,Virion,Zinc,Zinc-finger,	chain:U1 small nuclear ribonucleoprotein C,modified residue,zinc finger region:Matrin-type,
Snrpb2	U2 small nuclear ribonucleoprotein B(Snrpb2)	Mus musculus	NA	NA	GO:0000398~mRNA splicing, via spliceosome,GO:0002230~positive regulation of defense response to virus by host,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0098792~xenophagy,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0005686~U2 snRNP,GO:0005730~nucleolus,GO:0030529~intracellular ribonucleoprotein complex,GO:0030532~small nuclear ribonucleoprotein complex,GO:0071013~catalytic step 2 spliceosome,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0017069~snRNA binding,GO:0035614~snRNA stem-loop binding,GO:0070990~snRNP binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,IPR024888:U1 small nuclear ribonucleoprotein A/U2 small nuclear ribonucleoprotein B'',	mmu03040:Spliceosome,	NA	SM00360:RRM,	Acetylation,Complete proteome,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Ribonucleoprotein,RNA-binding,Spliceosome,	chain:U2 small nuclear ribonucleoprotein B'',domain:RRM 1,domain:RRM 2,modified residue,sequence conflict,
U2af1	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1(U2af1)	Mus musculus	NA	NA	GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008380~RNA splicing,	GO:0005634~nucleus,GO:0005681~spliceosomal complex,GO:0016607~nuclear speck,GO:0019013~viral nucleocapsid,GO:0030529~intracellular ribonucleoprotein complex,GO:0089701~U2AF,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0030628~pre-mRNA 3'-splice site binding,GO:0046872~metal ion binding,GO:0050733~RS domain binding,	IPR000504:RNA recognition motif domain,IPR000571:Zinc finger, CCCH-type,IPR003954:RNA recognition motif domain, eukaryote,IPR009145:U2 auxiliary factor small subunit,IPR012677:Nucleotide-binding, alpha-beta plait,	mmu03040:Spliceosome,	NA	SM00356:ZnF_C3H1,SM00360:RRM,SM00361:RRM_1,	Acetylation,Complete proteome,Metal-binding,Methylation,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Ribonucleoprotein,RNA-binding,Spliceosome,Viral nucleoprotein,Virion,Zinc,Zinc-finger,	chain:Splicing factor U2AF 35 kDa subunit,compositionally biased region:Arg/Gly/Ser-rich (RS domain),domain:RRM,modified residue,sequence conflict,zinc finger region:C3H1-type 1,zinc finger region:C3H1-type 2,
U2af2	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2(U2af2)	Mus musculus	NA	NA	GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0033120~positive regulation of RNA splicing,GO:0048025~negative regulation of mRNA splicing, via spliceosome,GO:1903146~regulation of mitophagy,GO:1903955~positive regulation of protein targeting to mitochondrion,	GO:0000243~commitment complex,GO:0000974~Prp19 complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0016607~nuclear speck,GO:0019013~viral nucleocapsid,GO:0030529~intracellular ribonucleoprotein complex,GO:0071004~U2-type prespliceosome,GO:0089701~U2AF,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0008187~poly-pyrimidine tract binding,GO:0019899~enzyme binding,GO:0030628~pre-mRNA 3'-splice site binding,GO:0044822~poly(A) RNA binding,GO:0070742~C2H2 zinc finger domain binding,	IPR000504:RNA recognition motif domain,IPR006529:U2 snRNP auxilliary factor, large subunit, splicing factor,IPR012677:Nucleotide-binding, alpha-beta plait,	mmu03040:Spliceosome,	NA	SM00360:RRM,	3D-structure,Acetylation,Complete proteome,Hydroxylation,Isopeptide bond,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Repressor,Ribonucleoprotein,RNA-binding,Ubl conjugation,Viral nucleoprotein,Virion,	chain:Splicing factor U2AF 65 kDa subunit,compositionally biased region:Arg/Ser-rich (RS domain),domain:RRM 1,domain:RRM 2,domain:RRM 3,modified residue,
Upf1	UPF1 regulator of nonsense transcripts homolog (yeast)(Upf1)	Mus musculus	NA	DNA replication, recombination, and repair,	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,GO:0000294~nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay,GO:0000723~telomere maintenance,GO:0000956~nuclear-transcribed mRNA catabolic process,GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0006449~regulation of translational termination,GO:0009048~dosage compensation by inactivation of X chromosome,GO:0032201~telomere maintenance via semi-conservative replication,GO:0061014~positive regulation of mRNA catabolic process,GO:0061158~3'-UTR-mediated mRNA destabilization,GO:0071044~histone mRNA catabolic process,GO:0071222~cellular response to lipopolysaccharide,GO:0071347~cellular response to interleukin-1,	GO:0000784~nuclear chromosome, telomeric region,GO:0000785~chromatin,GO:0000932~cytoplasmic mRNA processing body,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0035145~exon-exon junction complex,GO:0044530~supraspliceosomal complex,	GO:0000166~nucleotide binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0016787~hydrolase activity,GO:0042162~telomeric DNA binding,GO:0044822~poly(A) RNA binding,GO:0046872~metal ion binding,	IPR006935:Helicase/UvrB domain,IPR018999:RNA helicase UPF1, UPF2-interacting domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	mmu03013:RNA transport,mmu03015:mRNA surveillance pathway,	NA	NA	Alternative splicing,ATP-binding,Complete proteome,Cytoplasm,Helicase,Hydrolase,Metal-binding,Methylation,Nonsense-mediated mRNA decay,Nucleotide-binding,Nucleus,Phosphoprotein,Reference proteome,Repeat,RNA-binding,Zinc,Zinc-finger,	chain:Regulator of nonsense transcripts 1,compositionally biased region:Ala/Gly/Pro-rich,compositionally biased region:Gln/Ser-rich,modified residue,nucleotide phosphate-binding region:ATP,region of interest:Sufficient for interaction with RENT2,sequence conflict,short sequence motif:[ST]-Q motif 1,short sequence motif:[ST]-Q motif 2,splice variant,zinc finger region:C2H2-type; atypical,zinc finger region:C4-type,
Ybx1	Y box protein 1(Ybx1)	Mus musculus	m_dbpbPathway:Transcriptional activation of dbpb from mRNA,	NA	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001701~in utero embryonic development,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006397~mRNA processing,GO:0008284~positive regulation of cell proliferation,GO:0008380~RNA splicing,GO:0043066~negative regulation of apoptotic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046627~negative regulation of insulin receptor signaling pathway,GO:0051154~negative regulation of striated muscle cell differentiation,GO:0051781~positive regulation of cell division,GO:0070934~CRD-mediated mRNA stabilization,GO:1903608~protein localization to cytoplasmic stress granule,	GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005689~U12-type spliceosomal complex,GO:0005737~cytoplasm,GO:0010494~cytoplasmic stress granule,GO:0030425~dendrite,GO:0030529~intracellular ribonucleoprotein complex,GO:0031965~nuclear membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,GO:0070937~CRD-mediated mRNA stability complex,GO:0071204~histone pre-mRNA 3'end processing complex,GO:1990124~messenger ribonucleoprotein complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0002039~p53 binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003697~single-stranded DNA binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0043565~sequence-specific DNA binding,GO:0044822~poly(A) RNA binding,GO:0051020~GTPase binding,	IPR002059:Cold-shock protein, DNA-binding,IPR011129:Cold shock protein,IPR012340:Nucleic acid-binding, OB-fold,IPR019844:Cold-shock conserved site,	NA	NA	SM00357:CSP,	Acetylation,Activator,Complete proteome,Cytoplasm,DNA-binding,Isopeptide bond,Mitogen,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repressor,RNA-binding,Secreted,Transcription,Transcription regulation,Ubl conjugation,	chain:Nuclease-sensitive element-binding protein 1,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),domain:CSD,modified residue,region of interest:Interaction with ss-DNA,sequence conflict,site:Cleavage; by 20S proteasomal protease,
Ybx3	Y box protein 3(Ybx3)	Mus musculus	NA	NA	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001701~in utero embryonic development,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007283~spermatogenesis,GO:0008584~male gonad development,GO:0009566~fertilization,GO:0043066~negative regulation of apoptotic process,GO:0046622~positive regulation of organ growth,GO:0048642~negative regulation of skeletal muscle tissue development,GO:0060546~negative regulation of necroptotic process,GO:0071356~cellular response to tumor necrosis factor,GO:0071474~cellular hyperosmotic response,GO:1902219~negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005844~polysome,GO:0005921~gap junction,GO:0030529~intracellular ribonucleoprotein complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003697~single-stranded DNA binding,GO:0003723~RNA binding,GO:0003730~mRNA 3'-UTR binding,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR002059:Cold-shock protein, DNA-binding,IPR011129:Cold shock protein,IPR012340:Nucleic acid-binding, OB-fold,IPR019844:Cold-shock conserved site,	mmu04530:Tight junction,	NA	SM00357:CSP,	Acetylation,Alternative splicing,Complete proteome,Cytoplasm,DNA-binding,Methylation,Nucleus,Phosphoprotein,Reference proteome,Repressor,RNA-binding,Transcription,Transcription regulation,	chain:DNA-binding protein A,compositionally biased region:Ala-rich,compositionally biased region:Arg-rich,domain:CSD,modified residue,sequence conflict,splice variant,
Aco1	aconitase 1(Aco1)	Mus musculus	NA	NA	GO:0006099~tricarboxylic acid cycle,GO:0006101~citrate metabolic process,GO:0006417~regulation of translation,GO:0006879~cellular iron ion homeostasis,GO:0008152~metabolic process,GO:0009791~post-embryonic development,GO:0010040~response to iron(II) ion,GO:0010468~regulation of gene expression,GO:0050892~intestinal absorption,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,	GO:0003723~RNA binding,GO:0003994~aconitate hydratase activity,GO:0016829~lyase activity,GO:0030350~iron-responsive element binding,GO:0046872~metal ion binding,GO:0048027~mRNA 5'-UTR binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR000573:Aconitase A/isopropylmalate dehydratase small subunit, swivel,IPR001030:Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha,IPR006249:Aconitase/iron regulatory protein 2,IPR015928:Aconitase/3-isopropylmalate dehydratase, swivel,IPR015931:Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3,IPR015932:Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 2,IPR015937:Aconitase/isopropylmalate dehydratase,IPR018136:Aconitase family, 4Fe-4S cluster binding site,	mmu00020:Citrate cycle (TCA cycle),mmu00630:Glyoxylate and dicarboxylate metabolism,mmu01100:Metabolic pathways,mmu01130:Biosynthesis of antibiotics,mmu01200:Carbon metabolism,mmu01210:2-Oxocarboxylic acid metabolism,mmu01230:Biosynthesis of amino acids,	NA	NA	4Fe-4S,Complete proteome,Cytoplasm,Iron,Iron-sulfur,Lyase,Metal-binding,Reference proteome,RNA-binding,Tricarboxylic acid cycle,	chain:Cytoplasmic aconitate hydratase,metal ion-binding site:Iron-sulfur (4Fe-4S),sequence conflict,
Aars	alanyl-tRNA synthetase(Aars)	Mus musculus	NA	NA	GO:0001942~hair follicle development,GO:0006400~tRNA modification,GO:0006412~translation,GO:0006419~alanyl-tRNA aminoacylation,GO:0006457~protein folding,GO:0021680~cerebellar Purkinje cell layer development,GO:0030968~endoplasmic reticulum unfolded protein response,GO:0034620~cellular response to unfolded protein,GO:0043039~tRNA aminoacylation,GO:0043200~response to amino acid,GO:0043524~negative regulation of neuron apoptotic process,GO:0043588~skin development,GO:0050885~neuromuscular process controlling balance,GO:0050905~neuromuscular process,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0000049~tRNA binding,GO:0000166~nucleotide binding,GO:0002161~aminoacyl-tRNA editing activity,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0004812~aminoacyl-tRNA ligase activity,GO:0004813~alanine-tRNA ligase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0016597~amino acid binding,GO:0016874~ligase activity,GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds,GO:0046872~metal ion binding,	IPR002318:Alanine-tRNA ligase, class IIc,IPR003156:Phosphoesterase, DHHA1,IPR009000:Translation elongation/initiation factor/Ribosomal, beta-barrel,IPR012947:Threonyl/alanyl tRNA synthetase, SAD,IPR018162:Alanine-tRNA ligase, class IIc, anti-codon-binding domain,IPR018163:Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain,IPR018164:Alanyl-tRNA synthetase, class IIc, N-terminal,IPR018165:Alanyl-tRNA synthetase, class IIc, core domain,IPR023033:Alanine-tRNA ligase, eukaryota/bacteria,	mmu00970:Aminoacyl-tRNA biosynthesis,	NA	SM00863:SM00863,	Acetylation,Aminoacyl-tRNA synthetase,ATP-binding,Complete proteome,Cytoplasm,Ligase,Metal-binding,Nucleotide-binding,Phosphoprotein,Protein biosynthesis,Reference proteome,RNA-binding,tRNA-binding,Ubl conjugation,Zinc,	chain:Alanyl-tRNA synthetase, cytoplasmic,modified residue,region of interest:Catalytic,sequence conflict,
Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1(Aimp1)	Mus musculus	NA	NA	GO:0001525~angiogenesis,GO:0001937~negative regulation of endothelial cell proliferation,GO:0005975~carbohydrate metabolic process,GO:0006006~glucose metabolic process,GO:0006412~translation,GO:0006418~tRNA aminoacylation for protein translation,GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0007155~cell adhesion,GO:0007267~cell-cell signaling,GO:0048514~blood vessel morphogenesis,GO:0050900~leukocyte migration,GO:0051607~defense response to virus,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0009986~cell surface,GO:0016020~membrane,GO:0017101~aminoacyl-tRNA synthetase multienzyme complex,GO:0017102~methionyl glutamyl tRNA synthetase complex,GO:0030133~transport vesicle,GO:0031410~cytoplasmic vesicle,	GO:0000049~tRNA binding,GO:0003723~RNA binding,GO:0005125~cytokine activity,GO:0042803~protein homodimerization activity,GO:0051020~GTPase binding,	IPR002547:tRNA-binding domain,IPR012340:Nucleic acid-binding, OB-fold,	NA	NA	NA	Acetylation,Angiogenesis,Apoptosis,Carbohydrate metabolism,Cell adhesion,Coiled coil,Complete proteome,Cytokine,Cytoplasm,Cytoplasmic vesicle,Direct protein sequencing,Endoplasmic reticulum,Glucose metabolism,Golgi apparatus,Inflammatory response,Nucleus,Phosphoprotein,Protein biosynthesis,Proteomics identification,Reference proteome,RNA-binding,Secreted,tRNA-binding,	chain:Aminoacyl tRNA synthetase complex- interacting multifunctional protein 1,chain:Endothelial monocyte-activating polypeptide 2,domain:tRNA-binding,modified residue,region of interest:Interaction with HSP90B1,region of interest:Required for endothelial cell death,region of interest:Required for endothelial cell migration,region of interest:Required for fibroblast proliferation,
Apex1	apurinic/apyrimidinic endonuclease 1(Apex1)	Mus musculus	m_setPathway:Granzyme A mediated Apoptosis Pathway,	NA	GO:0000723~telomere maintenance,GO:0006281~DNA repair,GO:0006284~base-excision repair,GO:0006310~DNA recombination,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006974~cellular response to DNA damage stimulus,GO:0007568~aging,GO:0014912~negative regulation of smooth muscle cell migration,GO:0042493~response to drug,GO:0043488~regulation of mRNA stability,GO:0045454~cell redox homeostasis,GO:0045739~positive regulation of DNA repair,GO:0070301~cellular response to hydrogen peroxide,GO:0071320~cellular response to cAMP,GO:0071375~cellular response to peptide hormone stimulus,GO:0080111~DNA demethylation,GO:1900087~positive regulation of G1/S transition of mitotic cell cycle,	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005813~centrosome,GO:0016607~nuclear speck,GO:0048471~perinuclear region of cytoplasm,	GO:0003677~DNA binding,GO:0003684~damaged DNA binding,GO:0003691~double-stranded telomeric DNA binding,GO:0003713~transcription coactivator activity,GO:0003723~RNA binding,GO:0003906~DNA-(apurinic or apyrimidinic site) lyase activity,GO:0004518~nuclease activity,GO:0004519~endonuclease activity,GO:0004521~endoribonuclease activity,GO:0004527~exonuclease activity,GO:0008081~phosphoric diester hydrolase activity,GO:0008309~double-stranded DNA exodeoxyribonuclease activity,GO:0008311~double-stranded DNA 3'-5' exodeoxyribonuclease activity,GO:0008408~3'-5' exonuclease activity,GO:0016491~oxidoreductase activity,GO:0016787~hydrolase activity,GO:0016829~lyase activity,GO:0016890~site-specific endodeoxyribonuclease activity, specific for altered base,GO:0031490~chromatin DNA binding,GO:0032403~protein complex binding,GO:0044822~poly(A) RNA binding,GO:0046872~metal ion binding,GO:0051059~NF-kappaB binding,	IPR004808:Exodeoxyribonuclease III xth,IPR005135:Endonuclease/exonuclease/phosphatase,IPR020847:AP endonuclease, family 1, binding site,IPR020848:AP endonuclease, family 1, conserved site,	mmu03410:Base excision repair,	NA	NA	Acetylation,Activator,Cleavage on pair of basic residues,Complete proteome,Cytoplasm,Direct protein sequencing,Disulfide bond,DNA damage,DNA recombination,DNA repair,DNA-binding,Endonuclease,Endoplasmic reticulum,Exonuclease,Hydrolase,Lyase,Magnesium,Metal-binding,Mitochondrion,Nuclease,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repressor,RNA-binding,S-nitrosylation,Transcription,Transcription regulation,Ubl conjugation,	active site:Proton acceptor,chain:DNA-(apurinic or apyrimidinic site) lyase,metal ion-binding site:Magnesium or manganese,modified residue,site:Important for substrate recognition,
Carhsp1	calcium regulated heat stable protein 1(Carhsp1)	Mus musculus	NA	NA	GO:0006355~regulation of transcription, DNA-templated,GO:0043488~regulation of mRNA stability,	GO:0000177~cytoplasmic exosome (RNase complex),GO:0000932~cytoplasmic mRNA processing body,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0043186~P granule,GO:0070062~extracellular exosome,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0003730~mRNA 3'-UTR binding,GO:0005515~protein binding,	IPR002059:Cold-shock protein, DNA-binding,IPR011129:Cold shock protein,IPR012340:Nucleic acid-binding, OB-fold,IPR019844:Cold-shock conserved site,	NA	NA	SM00357:CSP,	Acetylation,Complete proteome,Cytoplasm,Phosphoprotein,Reference proteome,RNA-binding,	chain:Calcium-regulated heat stable protein 1,domain:CSD,modified residue,
Caprin2	caprin family member 2(Caprin2)	Mus musculus	NA	NA	GO:0017148~negative regulation of translation,GO:0030154~cell differentiation,GO:0030308~negative regulation of cell growth,GO:0032092~positive regulation of protein binding,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0040008~regulation of growth,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050775~positive regulation of dendrite morphogenesis,GO:0061003~positive regulation of dendritic spine morphogenesis,GO:0090263~positive regulation of canonical Wnt signaling pathway,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005813~centrosome,GO:0043235~receptor complex,	GO:0003723~RNA binding,GO:0005102~receptor binding,	IPR001073:Complement C1q protein,IPR008983:Tumour necrosis factor-like domain,IPR022070:Cytoplasmic activation/proliferation-associated protein-1 C term,	NA	NA	SM00110:C1Q,	Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Differentiation,Growth regulation,Phosphoprotein,Protein synthesis inhibitor,Reference proteome,RNA-binding,	chain:Caprin-2,domain:C1q,modified residue,sequence conflict,splice variant,
Caprin1	cell cycle associated protein 1(Caprin1)	Mus musculus	NA	NA	GO:0017148~negative regulation of translation,GO:0030154~cell differentiation,GO:0050775~positive regulation of dendrite morphogenesis,GO:0061003~positive regulation of dendritic spine morphogenesis,	GO:0000932~cytoplasmic mRNA processing body,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0010494~cytoplasmic stress granule,GO:0016020~membrane,GO:0030425~dendrite,GO:0042995~cell projection,	GO:0003723~RNA binding,GO:0044822~poly(A) RNA binding,	IPR022070:Cytoplasmic activation/proliferation-associated protein-1 C term,	NA	NA	NA	Acetylation,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Differentiation,Glycoprotein,Methylation,Phosphoprotein,Protein synthesis inhibitor,Proteomics identification,Reference proteome,RNA-binding,	chain:Caprin-1,modified residue,region of interest:G3BP1-binding,sequence conflict,
Cdc5l	cell division cycle 5-like (S. pombe)(Cdc5l)	Mus musculus	NA	Transcription / RNA processing and modification / Cell division and chromosome partitioning,	GO:0000278~mitotic cell cycle,GO:0000398~mRNA splicing, via spliceosome,GO:0006281~DNA repair,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006397~mRNA processing,GO:0006974~cellular response to DNA damage stimulus,GO:0007049~cell cycle,GO:0008380~RNA splicing,GO:0030154~cell differentiation,GO:0044344~cellular response to fibroblast growth factor stimulus,GO:0071352~cellular response to interleukin-2,GO:0072422~signal transduction involved in DNA damage checkpoint,GO:1904568~cellular response to wortmannin,GO:1990090~cellular response to nerve growth factor stimulus,GO:1990646~cellular response to prolactin,	GO:0000974~Prp19 complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005662~DNA replication factor A complex,GO:0005681~spliceosomal complex,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0016020~membrane,GO:0016607~nuclear speck,GO:0032993~protein-DNA complex,GO:0048471~perinuclear region of cytoplasm,GO:0071013~catalytic step 2 spliceosome,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001135~transcription factor activity, RNA polymerase II transcription factor recruiting,GO:0001222~transcription corepressor binding,GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0008157~protein phosphatase 1 binding,GO:0019901~protein kinase binding,GO:0043522~leucine zipper domain binding,GO:0043565~sequence-specific DNA binding,GO:0044212~transcription regulatory region DNA binding,GO:0044822~poly(A) RNA binding,GO:0071987~WD40-repeat domain binding,	IPR001005:SANT/Myb domain,IPR009057:Homeodomain-like,IPR017930:Myb domain,IPR021786:Domain of unknown function DUF3351,	mmu03040:Spliceosome,	NA	SM00717:SANT,	Activator,Cell cycle,Coiled coil,Complete proteome,Cytoplasm,Direct protein sequencing,DNA damage,DNA repair,DNA-binding,Isopeptide bond,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Reference proteome,Repeat,RNA-binding,Spliceosome,Transcription,Transcription regulation,Ubl conjugation,	chain:Cell division cycle 5-related protein,DNA-binding region:H-T-H motif,domain:HTH myb-type 1,domain:HTH myb-type 2,modified residue,region of interest:Interaction with DAPK3,region of interest:Interaction with PLRG1,region of interest:Interaction with PPP1R8,
Cstf2t	cleavage stimulation factor, 3' pre-RNA subunit 2, tau(Cstf2t)	Mus musculus	NA	NA	GO:0006378~mRNA polyadenylation,GO:0006397~mRNA processing,GO:0031124~mRNA 3'-end processing,GO:0098789~pre-mRNA cleavage required for polyadenylation,	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005847~mRNA cleavage and polyadenylation specificity factor complex,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,IPR025742:Cleavage stimulation factor subunit 2, hinge domain,IPR026896:Transcription termination and cleavage factor C-terminal domain,	mmu03015:mRNA surveillance pathway,	NA	SM00360:RRM,	Complete proteome,mRNA processing,Nucleus,Phosphoprotein,Reference proteome,Repeat,RNA-binding,	chain:Cleavage stimulation factor 64 kDa subunit, tau variant,compositionally biased region:Gly-rich,domain:RRM,modified residue,region of interest:12 X 5 AA tandem repeats of G-[AT]-G- [MI]-Q,region of interest:8 X 5 AA tandem repeats of M-E-T-R-[AG],repeat:1-1; approximate,repeat:1-2; approximate,repeat:1-3; approximate,repeat:1-4; approximate,repeat:1-5; approximate,repeat:1-6,repeat:1-7; approximate,repeat:1-8; approximate,repeat:2-10; approximate,repeat:2-11; approximate,repeat:2-12,repeat:2-1; approximate,repeat:2-2,repeat:2-3; approximate,repeat:2-4,repeat:2-5; approximate,repeat:2-6,repeat:2-7; approximate,repeat:2-8,repeat:2-9; approximate,sequence conflict,
