gene	Groups	New annotation -initial data	category	biological_process	cellular_component	molecular_function	rankEpith	rankFibers	rankwhole	tissue	ranktissue
Dhx36	mRNA pathway, enzyme	mRNA degradation, RNA helicase	mRNA degradation, enzyme	G-quadruplex DNA unwinding  (pubmed id: 25611385), ossification  (pubmed id: 21590736), positive regulation of cardioblast differentiation  (pubmed id: 26489465), positive regulation of hematopoietic progenitor cell differentiation  (pubmed id: 22422825), positive regulation of I-kappaB kinase/NF-kappaB signaling  (pubmed id: 21703541), positive regulation of myeloid dendritic cell cytokine production  (pubmed id: 21703541), positive regulation of transcription by RNA polymerase II  (pubmed id: 21590736), regulation of embryonic development  (pubmed id: 22422825), regulation of transcription from RNA polymerase II promoter involved in spermatogenesis  (pubmed id: 25611385), response to exogenous dsRNA  (pubmed id: 21703541), response to virus  (pubmed id: 21703541), spermatogenesis  (pubmed id: 25611385)	cytosol  (pubmed id: 21703541), mitochondrion  (pubmed id: 21703541), nucleus  (pubmed id: 21873635)	ATP-dependent 3'-5' RNA helicase activity  (pubmed id: 21873635), ATP-dependent DNA helicase activity  (pubmed id: 21873635; 25611385), double-stranded RNA binding  (pubmed id: 21703541; 21266579), G-quadruplex DNA binding  (pubmed id: 25611385), G-quadruplex RNA binding  (pubmed id: 21873635), histone deacetylase binding  (pubmed id: 21590736), protein binding  (pubmed id: 21590736), RNA binding  (pubmed id: 21873635), RNA polymerase II proximal promoter sequence-specific DNA binding  (pubmed id: 25611385), transcription regulatory region DNA binding  (pubmed id: 21590736)	2066	1592	2508	fibers	1592
Pcbp4	mRNA pathway	mRNA stabilization, binds p21 mRNA	mRNA stability	signal transduction by p53 class mediator resulting in transcription of p21 class mediator  (pubmed id: 20817677), via spliceosome  (pubmed id: 23636947)	NA	NA	3587	1649	2817	fibers	1649
Sf3b5	Splicing	splicing	splicing	via spliceosome  (pubmed id: 21873635)	U2 snRNP  (pubmed id: 21873635)	NA	2243	1693	4468	fibers	1693
Larp1	mRNA pathway	mRNA stabilization	mRNA stability	NA	cytoplasm  (pubmed id: 10878606)	NA	2012	1710	1806	fibers	1710
Rps11	Ribosomal protein	ribosomal protein	ribosomal protein	NA	cytosolic small ribosomal subunit  (pubmed id: 21873635)	structural constituent of ribosome  (pubmed id: 21873635)	3244	1740	3371	fibers	1740
Celf1	mRNA pathway, splicing, Translation	splicing and mRNA binding	splicing, mRNA degradation, mRNA stability, translational regulation	mRNA splice site selection  (pubmed id: 21873635; 11158314), positive regulation of multicellular organism growth  (pubmed id: 17130239), spermatid development  (pubmed id: 17130239), via spliceosome  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635; 17130239; 11158314), nucleus  (pubmed id: 21873635; 15830352; 11158314), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635), translation initiation factor binding  (pubmed id: 16931514)	4952	1746	2007	fibers	1746
Xpot	tRNA pathway	export of tRNAs	tRNA pathway	tRNA re-export from nucleus  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635), nuclear matrix  (pubmed id: 21873635), nuclear pore  (pubmed id: 21873635)	Ran GTPase binding  (pubmed id: 21873635), tRNA binding  (pubmed id: 21873635)	2113	1749	1743	fibers	1749
Fbll1	rRNA pathway, enzyme	snRNP particle, enzyme- methylase	rRNA pathway, enzyme	blastocyst hatching  (pubmed id: 27869233), box C/D snoRNA 3'-end processing  (pubmed id: 21873635), histone glutamine methylation  (pubmed id: 21873635), rRNA methylation  (pubmed id: 21873635)	box C/D snoRNP complex  (pubmed id: 21873635), Cajal body  (pubmed id: 21873635), small-subunit processome  (pubmed id: 21873635)	histone-glutamine methyltransferase activity  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635), rRNA methyltransferase activity  (pubmed id: 21873635)	1979	1786	2435	fibers	1786
Pdcd4	Translation	Binds eIF4A and inhibits translation	translational regulation	cellular response to lipopolysaccharide  (pubmed id: 19946272), negative regulation of cytokine production involved in inflammatory response  (pubmed id: 17114484), positive regulation of inflammatory response  (pubmed id: 17114484)	cytosol  (pubmed id: 21873635), nucleus  (pubmed id: 21873635)	protein binding  (pubmed id: 12482958)	498	3563	1531	epi	498
Lsm2	Splicing	Pre-mRNA splicing through U4/U6 snRNP formation	splicing	NA	catalytic step 2 spliceosome  (pubmed id: 21873635), Lsm1-7-Pat1 complex  (pubmed id: 21873635), P-body  (pubmed id: 21873635), U4/U6 x U5 tri-snRNP complex  (pubmed id: 21873635), U6 snRNP  (pubmed id: 21873635)	protein binding  (pubmed id: 8851885), protein kinase binding  (pubmed id: 8851885), RNA binding  (pubmed id: 21873635)	604	4282	944	epi	604
Raly	Splicing	splicing, hnRNP protein	splicing	cholesterol homeostasis  (pubmed id: 27251289), regulation of nucleic acid-templated transcription  (pubmed id: 27251289)	nucleus  (pubmed id: 21873635; 27251289)	RNA binding  (pubmed id: 21873635; 27251289), transcription coregulator activity  (pubmed id: 27251289)	605	2018	1425	epi	605
Rbmxl1	Splicing	splicing	splicing	positive regulation of transcription by RNA polymerase II  (pubmed id: 17188681; 19403048), via spliceosome  (pubmed id: 21873635)	nucleus  (pubmed id: 21873635; 10716735), ribonucleoprotein complex  (pubmed id: 21873635), spliceosomal complex  (pubmed id: 21873635)	chromatin binding  (pubmed id: 17188681), protein binding  (pubmed id: 19403048), RNA binding  (pubmed id: 21873635), RNA polymerase II proximal promoter sequence-specific DNA binding  (pubmed id: 17188681)	716	3653	841	epi	716
Ppp1r8	mRNA pathway, enzyme	mRNA degradation, phosphatase	mRNA degradation	cell proliferation  (pubmed id: 15199142), negative regulation of protein dephosphorylation  (pubmed id: 21873635), production of miRNAs involved in gene silencing by miRNA  (pubmed id: 21873635)	nuclear speck  (pubmed id: 21873635), nucleus  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 14640981), protein phosphatase regulator activity  (pubmed id: 14640981), protein serine/threonine phosphatase inhibitor activity  (pubmed id: 21873635)	846	2000	1330	epi	846
Dazap1	mRNA pathway, splicing	splicing and protein-binding/mRNA degradation	splicing, mRNA degradation	cell proliferation  (pubmed id: 18669443), maternal placenta development  (pubmed id: 18669443), spermatogenesis  (pubmed id: 21873635; 18669443), via spliceosome  (pubmed id: 21873635; 23636947)	cytoplasm  (pubmed id: 11604102), nucleoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635; 12185095), polysome  (pubmed id: 11604102), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA 3'-UTR binding  (pubmed id: 21873635), poly(G) binding  (pubmed id: 21873635), poly(U) RNA binding  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635; 11604102), RNA stem-loop binding  (pubmed id: 15647502)	959	4282	370	epi	959
Lrpprc	mtRNA pathway	RNA-binding (Cell 2012), mitochondria	mtRNA pathway	negative regulation of mitochondrial RNA catabolic process  (pubmed id: 22045337; 21880015), regulation of mitochondrial translation  (pubmed id: 22045337)	cytoplasm  (pubmed id: 12071956), mitochondrion  (pubmed id: 14651853; 21880015; 14651853), nucleus  (pubmed id: 12071956), ribonucleoprotein complex  (pubmed id: 22045337)	protein binding  (pubmed id: 17050673), RNA binding  (pubmed id: 21880015), single-stranded DNA binding  (pubmed id: 12071956)	998	1873	1496	epi	998
Ewsr1	mRNA pathway	mRNA processing and transport	mRNA transport	NA	nucleus  (pubmed id: 21873635; 11555636)	protein binding  (pubmed id: 15917470)	1020	1816	1021	epi	1020
Snu13	Splicing	U4/U6 snRNP, box C/D snoRNA binding	splicing	box C/D snoRNP assembly  (pubmed id: 11842104), maturation of LSU-rRNA  (pubmed id: 21873635), single fertilization  (pubmed id: 9114055), via spliceosome  (pubmed id: 21873635)	box C/D snoRNP complex  (pubmed id: 21873635; 11842104), plasma membrane  (pubmed id: 9114055), small-subunit processome  (pubmed id: 21873635), U4/U6 x U5 tri-snRNP complex  (pubmed id: 21873635)	box C/D snoRNA binding  (pubmed id: 11842104), RNA binding  (pubmed id: 21873635)	1028	1857	1586	epi	1028
Srsf3	Splicing	splicing	splicing	cellular response to leukemia inhibitory factor  (pubmed id: 20439489), insulin receptor signaling pathway  (pubmed id: 17022104), RNA splicing  (pubmed id: 19159640), via spliceosome  (pubmed id: 21873635; 21873635)	nuclear speck  (pubmed id: 21873635; 17022104), nucleus  (pubmed id: 21873635)	phospholipase binding  (pubmed id: 17022104), RNA binding  (pubmed id: 21873635; 19159640)	1031	1898	1122	epi	1031
Tst	rRNA pathway, enzyme	5S rRNA-binding, also mitochondrial enzyme	rRNA pathway, enzyme	NA	mitochondrial inner membrane  (pubmed id: 12865426), mitochondrion  (pubmed id: 14651853)	NA	1051	3428	2711	epi	1051
Exosc4	mRNA pathways, snRNA rRNA pathways	mRNA surveillance, snRNA, rRNA	mRNA surveillance, ncRNA pathway, rRNA pathway	3'-5'  (pubmed id: 21873635), nuclear mRNA surveillance  (pubmed id: 21873635), polyadenylation-dependent snoRNA 3'-end processing  (pubmed id: 21873635), rRNA catabolic process  (pubmed id: 21873635), U4 snRNA 3'-end processing  (pubmed id: 21873635)	cytoplasmic exosome (RNase complex)  (pubmed id: 21873635), nuclear exosome (RNase complex)  (pubmed id: 21873635), nucleolus  (pubmed id: 21873635)	protein binding  (pubmed id: 21791617)	1109	2083	3611	epi	1109
Cavin1	rRNA pathway	Pol I trascription and 3' end of pre-rRNA transcripts	rRNA pathway	positive regulation of cell motility  (pubmed id: 25514038), protein secretion  (pubmed id: 30188967), rRNA transcription  (pubmed id: 27528195), termination of RNA polymerase I transcription  (pubmed id: 9582279), transcription initiation from RNA polymerase I promoter  (pubmed id: 11139612)	caveola  (pubmed id: 21873635; 18191225; 24013648; 17026959), cytoplasm  (pubmed id: 21873635; 17026959), endoplasmic reticulum  (pubmed id: 30188967), mitochondrion  (pubmed id: 15242332), nucleus  (pubmed id: 25514038; 15242332), protein-containing complex  (pubmed id: 24013648)	protein binding  (pubmed id: 25588833), rRNA primary transcript binding  (pubmed id: 9582279)	1122	4282	3745	epi	1122
Pspc1	mRNA retention	RNA-binding (Cell 2012)	mRNA nuclear retention	DNA-templated  (pubmed id: 22966205), regulation of circadian rhythm  (pubmed id: 22966205)	nucleoplasm  (pubmed id: 19217333), nucleus  (pubmed id: 21873635), paraspeckles  (pubmed id: 19217333)	E-box binding  (pubmed id: 22966205), protein binding  (pubmed id: 11591653), RNA binding  (pubmed id: 19217333), transcription regulatory region sequence-specific DNA binding  (pubmed id: 21873635)	1160	2631	1451	epi	1160
Prkra	DsRNA-binding, stress response	oxidative stress	Stress response	cellular response to oxidative stress  (pubmed id: 10336432), ear development  (pubmed id: 26234751), middle ear morphogenesis  (pubmed id: 16571658), outer ear morphogenesis  (pubmed id: 16571658), positive regulation of intrinsic apoptotic signaling pathway  (pubmed id: 12181197), protein phosphorylation  (pubmed id: 10336432), skeletal system morphogenesis  (pubmed id: 16571658)	NA	protein binding  (pubmed id: 17452327)	1171	2127	1545	epi	1171
Sf3b6	Splicing	splicing	splicing	blastocyst formation  (pubmed id: 23211737), via spliceosome  (pubmed id: 21873635; 23211737)	catalytic step 2 spliceosome  (pubmed id: 21873635), nucleus  (pubmed id: 23211737), U12-type spliceosomal complex  (pubmed id: 21873635), U2 snRNP  (pubmed id: 21873635)	NA	1176	2082	3263	epi	1176
Hnrnpll	mRNA pathway, splicing	Splicing, mRNA binding	splicing	NA	NA	NA	1179	2237	1742	epi	1179
Exosc6	mRNA pathway, exosome	mRNA degradation, exosome	mRNA degradation, Exosome	3'-5'  (pubmed id: 21873635), isotype switching  (pubmed id: 21255825), nuclear mRNA surveillance  (pubmed id: 21873635), polyadenylation-dependent snoRNA 3'-end processing  (pubmed id: 21873635), positive regulation of isotype switching  (pubmed id: 21255825), rRNA catabolic process  (pubmed id: 21873635), U4 snRNA 3'-end processing  (pubmed id: 21873635)	cytoplasmic exosome (RNase complex)  (pubmed id: 21873635), nuclear exosome (RNase complex)  (pubmed id: 21873635), nucleolus  (pubmed id: 21873635)	NA	1204	2047	2378	epi	1204
U2af1	Splicing	splicing	splicing	via spliceosome  (pubmed id: 21873635)	nuclear speck  (pubmed id: 18758164), spliceosomal complex  (pubmed id: 21873635), U2AF  (pubmed id: 21873635)	pre-mRNA 3'-splice site binding  (pubmed id: 21873635), protein binding  (pubmed id: 18758164), RS domain binding  (pubmed id: 15798186)	1245	2182	1627	epi	1245
Exosc3	mRNA pathway, exosome	mRNA degradation, exosome	mRNA degradation, Exosome	3'-5'  (pubmed id: 21873635), CUT catabolic process  (pubmed id: 21873635), exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay  (pubmed id: 21873635), isotype switching  (pubmed id: 21255825), LSU-rRNA)  (pubmed id: 21873635), nuclear polyadenylation-dependent rRNA catabolic process  (pubmed id: 21873635), nuclear polyadenylation-dependent tRNA catabolic process  (pubmed id: 21873635), nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription  (pubmed id: 21873635), polyadenylation-dependent snoRNA 3'-end processing  (pubmed id: 21873635), positive regulation of isotype switching  (pubmed id: 21255825), U4 snRNA 3'-end processing  (pubmed id: 21873635)	cytoplasmic exosome (RNase complex)  (pubmed id: 21873635), exosome (RNase complex)  (pubmed id: 21873635), nuclear exosome (RNase complex)  (pubmed id: 21873635)	RNA binding  (pubmed id: 21873635)	1328	4282	2648	epi	1328
Eif4a3	mRNA pathway, non-sense RNA mediated decay	non-sense RNA mediated decay	NMD	positive regulation of transcription by RNA polymerase II  (pubmed id: 18480465), via spliceosome  (pubmed id: 18480465)	nucleus  (pubmed id: 18480465)	NA	1356	2291	2028	epi	1356
Ptbp3	Splicing	splicing	splicing	via spliceosome  (pubmed id: 23636947)	NA	NA	1389	2972	4593	epi	1389
Snrnp70	Splicing	splicing	splicing	via spliceosome  (pubmed id: 21873635; 23636947)	nuclear speck  (pubmed id: 17656373), nucleus  (pubmed id: 18559850), U1 snRNP  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635)	1420	2348	1747	epi	1420
Hnrnpul1	mRNA pathway	mRNA transport	mRNA transport	NA	nucleoplasm  (pubmed id: 21873635)	RNA binding  (pubmed id: 21873635)	1430	2692	2185	epi	1430
Zranb2	Splicing	RNA-binding (Cell 2012), splicing	splicing	NA	NA	lipopolysaccharide binding  (pubmed id: 21873635)	1458	1844	1653	epi	1458
Fmr1	mRNA pathway	mRNA binding, trafficking	mRNA transport	anterograde axonal transport  (pubmed id: 21873635; 26586091), cellular response to DNA damage stimulus  (pubmed id: 24813610), cellular response to hydroxyurea  (pubmed id: 24813610), cellular response to UV  (pubmed id: 24813610), central nervous system development  (pubmed id: 21873635; 12700164), dendritic spine development  (pubmed id: 23509247), glutamate receptor signaling pathway  (pubmed id: 18539120; 11438589), modulating synaptic transmission  (pubmed id: 21873635; 12032354), mRNA transport  (pubmed id: 18539120), negative regulation of cytoplasmic translation  (pubmed id: 11376146), negative regulation of gene expression  (pubmed id: 23235829), negative regulation of long-term synaptic depression  (pubmed id: 11438589), negative regulation of translation  (pubmed id: 21873635; 14613971), negative regulation of translational initiation  (pubmed id: 18805096), positive regulation of dendritic spine development  (pubmed id: 18539120), positive regulation of filopodium assembly  (pubmed id: 18539120), positive regulation of gene silencing by miRNA  (pubmed id: 20159450), positive regulation of histone phosphorylation  (pubmed id: 24813610), positive regulation of proteasomal protein catabolic process  (pubmed id: 24709664), positive regulation of protein phosphorylation  (pubmed id: 21873635), positive regulation of response to DNA damage stimulus  (pubmed id: 21873635; 24813610), positive regulation of translation  (pubmed id: 21873635; 19166269), regulation of dendrite morphogenesis  (pubmed id: 21873635), regulation of dendritic spine development  (pubmed id: 21873635; 16631377), regulation of filopodium assembly  (pubmed id: 21873635; 16631377), regulation of modification of synaptic structure  (pubmed id: 21873635; 16055059), regulation of mRNA stability  (pubmed id: 21873635; 17417632), via spliceosome  (pubmed id: 21873635; 18653529)	axon  (pubmed id: 21873635; 16631377), cell body  (pubmed id: 17881655), chromocenter  (pubmed id: 24813610), chromosome  (pubmed id: 24813610), cytoplasm  (pubmed id: 21873635; 16790844), cytoplasmic ribonucleoprotein granule  (pubmed id: 21873635; 18539120), cytoplasmic stress granule  (pubmed id: 21933836), dendrite  (pubmed id: 16631377), dendritic filopodium  (pubmed id: 21873635; 16631377), dendritic spine  (pubmed id: 21873635; 16631377), dendritic spine neck  (pubmed id: 21873635), extrinsic component of plasma membrane  (pubmed id: 24709664), filopodium tip  (pubmed id: 16631377), glutamatergic synapse  (pubmed id: 19193898), growth cone  (pubmed id: 21873635), growth cone filopodium  (pubmed id: 16631377), hippocampal mossy fiber to CA3 synapse  (pubmed id: 19193898), microtubule  (pubmed id: 17881655), mRNA cap binding complex  (pubmed id: 18805096), neuronal cell body  (pubmed id: 21873635), neuronal ribonucleoprotein granule  (pubmed id: 21873635; 18539120; 17881655), nucleus  (pubmed id: 21873635; 12700164), perikaryon  (pubmed id: 14613971), perinuclear region of cytoplasm  (pubmed id: 16790844), polysome  (pubmed id: 21873635; 14613971), postsynapse  (pubmed id: 17254795), postsynaptic density  (pubmed id: 21873635), presynapse  (pubmed id: 21873635; 19193898), presynaptic cytosol  (pubmed id: 19193898), ribonucleoprotein granule  (pubmed id: 21873635), Schaffer collateral - CA1 synapse  (pubmed id: 12032354), SMN complex  (pubmed id: 18093976), synapse  (pubmed id: 16631377)	chromatin binding  (pubmed id: 24813610), dynein complex binding  (pubmed id: 18539120), microtubule binding  (pubmed id: 17881655), miRNA binding  (pubmed id: 20159450), mRNA 3'-UTR binding  (pubmed id: 21873635; 11376146), mRNA binding  (pubmed id: 21873635; 14613971), protein binding  (pubmed id: 10567518), protein homodimerization activity  (pubmed id: 21873635), RNA binding  (pubmed id: 24349419), translation regulator activity  (pubmed id: 21873635; 12032354), translation repressor activity  (pubmed id: 11376146)	1476	2298	2374	epi	1476
Nxf1	mRNA pathway	RNA-binding (Cell 2012)	mRNA transport	poly(A)+ mRNA export from nucleus  (pubmed id: 21873635; 15820316), RNA export from nucleus  (pubmed id: 11579093)	nuclear inclusion body  (pubmed id: 15615787), nuclear pore  (pubmed id: 11579093), nucleus  (pubmed id: 21873635; 15820316)	mRNA binding  (pubmed id: 15820316), protein binding  (pubmed id: 11579093), RNA binding  (pubmed id: 21873635; 11579093)	1497	3664	1802	epi	1497
Ddx42	mRNA pathway, chaperone	mRNA-binding (Mol Cell 2012), RNA-chaperone	chaperone	NA	NA	NA	1508	2243	2403	epi	1508
Son	mRNA pathway, splicing	splicing and mRNA binding	splicing	mRNA processing  (pubmed id: 21873635), via spliceosome  (pubmed id: 21873635)	NA	protein binding  (pubmed id: 9185665), RNA binding  (pubmed id: 21873635), RS domain binding  (pubmed id: 15798186)	1548	2404	2815	epi	1548
Snrpb2	Splicing	splicing	splicing	via spliceosome  (pubmed id: 21873635)	catalytic step 2 spliceosome  (pubmed id: 21873635), U1 snRNP  (pubmed id: 21873635), U2 snRNP  (pubmed id: 21873635)	protein binding  (pubmed id: 18360097), U1 snRNA binding  (pubmed id: 21873635)	1569	1925	1476	epi	1569
Srsf6	Splicing	splicing	splicing	mRNA splice site selection  (pubmed id: 21873635), negative regulation of cell death  (pubmed id: 23132731), positive regulation of epithelial cell proliferation involved in lung morphogenesis  (pubmed id: 23132731), via spliceosome  (pubmed id: 21873635; 21873635; 23132731; 21873635)	nuclear speck  (pubmed id: 21873635), nucleus  (pubmed id: 21873635)	pre-mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 26581985), RNA binding  (pubmed id: 21873635)	1574	4282	2729	epi	1574
Nelfb	RNA-binding	transcriptional pausing in elongation, binds RNA	transcriptional elongation, Pre-mRNA processing	cell proliferation  (pubmed id: 25773599), negative regulation of stem cell differentiation  (pubmed id: 19340312), negative regulation of transcription elongation from RNA polymerase II promoter  (pubmed id: 21873635; 19340312), stem cell differentiation  (pubmed id: 25773599)	NELF complex  (pubmed id: 21873635)	protein binding  (pubmed id: 26010750)	1575	2722	2191	epi	1575
Hnrnph2	mRNA pathway	Pre-mRNA processing and transport	Pre-mRNA transport	NA	ribonucleoprotein complex  (pubmed id: 18809582)	NA	1590	2158	2798	epi	1590
Ncbp2	mRNA pathway, splicing	Pre-mRNA splicing, 3'-end processing, RNA nuclear export, and nonsense-mediated mRNA decay.	splicing, mRNA transport	via spliceosome  (pubmed id: 21873635)	nuclear cap binding complex  (pubmed id: 21873635)	RNA cap binding  (pubmed id: 21873635)	1617	2584	4528	epi	1617
Ddx21	mRNA pathway, dsRNA pathway, enzyme	RNA helicase, dsRNA-binding	enzyme	positive regulation of I-kappaB kinase/NF-kappaB signaling  (pubmed id: 21703541), positive regulation of myeloid dendritic cell cytokine production  (pubmed id: 21703541), response to exogenous dsRNA  (pubmed id: 21703541), response to virus  (pubmed id: 21703541)	cytosol  (pubmed id: 21703541), mitochondrion  (pubmed id: 21703541), nucleolus  (pubmed id: 10860663), nucleus  (pubmed id: 10860663)	double-stranded RNA binding  (pubmed id: 21703541), identical protein binding  (pubmed id: 21703541), protein binding  (pubmed id: 21703541), RNA binding  (pubmed id: 10860663), RNA helicase activity  (pubmed id: 10860663)	1619	2378	2573	epi	1619
Sf1	Splicing	pre-mRNA splicing	splicing	Leydig cell differentiation  (pubmed id: 17495005), male sex determination  (pubmed id: 17495005), nuclear body organization  (pubmed id: 25145264), regulation of steroid biosynthetic process  (pubmed id: 17495005)	cytoplasm  (pubmed id: 18559850), nuclear body  (pubmed id: 25145264), nucleus  (pubmed id: 21873635; 18559850)	RNA binding  (pubmed id: 21873635; 25145264)	1675	1900	1730	epi	1675
Rnmt	mRNA pathway	mRNA caping and methylation enzyme	enzyme	7-methylguanosine mRNA capping  (pubmed id: 21873635), cellular response to leukemia inhibitory factor  (pubmed id: 20439489)	mRNA cap binding complex  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), receptor complex  (pubmed id: 23382219)	mRNA (guanine-N7-)-methyltransferase activity  (pubmed id: 21873635)	1676	1993	1768	epi	1676
Tial1	mRNA pathway	mRNA binding	Stress response	germ cell development  (pubmed id: 9482885), positive regulation of cell proliferation  (pubmed id: 9482885), stem cell division  (pubmed id: 9482885)	cytoplasm  (pubmed id: 16278295), cytoplasmic stress granule  (pubmed id: 19825938), nucleus  (pubmed id: 9482885)	mRNA 3'-UTR AU-rich region binding  (pubmed id: 10921895), protein binding  (pubmed id: 20477871)	1694	1908	2149	epi	1694
