gene,category,comment,pmid,date
Apex1,mRNA stability,"we and others showed that APE1: (i) binds, in vitro, structured RNA molecules via its 33 amino acids N-terminal domain17; (ii) cleaves abasic single-stranded RNA, taking part in RNA-decay dependent on its endonuclease activity; (iii) has 3ʹ-RNA phosphatase and 3ʹ-exoribonuclease activities; (iv) regulates c-Myc mRNA levels and half-life in tumor cells",28986522,2019-11-19T15:40:33Z
Apex1,Stress response,"Mammalian apurinic/apyrimidinic endonuclease 1 is a DNA repair enzyme involved in genome stability and expression of genes involved in oxidative stress responses, tumor progression and chemoresistance.",28986522,2019-11-19T15:37:57Z
Carhsp1,mRNA sequestration,CRHSP-24 Localizes Stress Granules Possibly via an Interaction with mRNA in SG,21177848,2019-11-18T14:15:45Z
Carhsp1,mRNA stability,CARHSP1 is a TNF-α mRNA stability enhancer,21078874,2019-11-18T14:08:46Z
Carhsp1,Stress response,CRHSP-24 participates in oxidative stress response via a dynamic and temporal association between stress granules and processing bodies,21177848,2019-11-18T14:15:35Z
Carhsp1,translational regulation,not verified,NA,2019-11-18T14:40:29Z
Elavl1,mRNA stability,ARE‐binding protein HuR participates in the regulation of cyclin A and cyclin B1 expression by stabilizing their mRNAs.,10811625,2019-12-26T11:55:04Z
Elavl1,mRNA stability,Our findings are in keeping with the general view that HuR exerts a stabilizing influence on labile mRNAs. We arrive at this conclusion from data indicating that UVC-stimulated binding of HuR to the p21 mRNA was associated with enhanced p21 mRNA levels,10629032,2019-12-26T12:01:47Z
Elavl1,splicing,"RBP embryonic lethal abnormal vision like 1 (ELAVL1, also know as HuR) regulates the alternative splicing of eukaryotic translation initiation factor 4E nuclear import factor 1 (Eif4enif1), which encodes an eukaryotic translation initiation factor 4E transporter (4E-T) protein and suppresses the expression of capped mRNAs.",25422430,2019-12-26T12:48:23Z
Elavl1,Stress response,"HuR undergoes nuclear-cytoplasmic translocation in response to a variety of stress stimuli such as UV,",31103853,2019-12-26T12:53:15Z
Elavl1,translational regulation,"Our results support a model whereby HuR, through its association with the p53 3'-UTR, positively influences p53 translation.",12821781,2019-12-26T13:01:52Z
Hnrnpa0,mRNA stability,"hnRNPA0 is activated by a checkpoint kinase (MK2) and simultaneously controls both cell cycle checkpoints through distinct target mRNAs, but unlike p53, this is through the post-transcriptional stabilization of p27(Kip1) and Gadd45α mRNAs th the p53 3'-UTR  positively influences p53 translation.""",26602816,2019-12-26T13:18:27Z
Hnrnpa0,mRNA stability,"hnRNPA0 is activated by a checkpoint kinase (MK2) and simultaneously controls both cell cycle checkpoints through distinct target mRNAs, but unlike p53, this is through the post-transcriptional stabilization of p27(Kip1) and Gadd45α mRNAs",26602816,2019-12-26T13:18:27Z
Ybx3,mRNA stability,"YBX3 acts as a translational repressor (e.g., MYH9 and SPTBN1) and positive regulator of mRNA stability (SLC7A5 and SLC3A2)",31189097,2019-12-26T14:08:51Z
Ybx3,translational regulation,"YBX3 acts as a translational repressor (e.g., MYH9 and SPTBN1) and positive regulator of mRNA stability (SLC7A5 and SLC3A2)",31189097,2019-12-26T14:09:07Z
Ybx3,Stress response,"Stress-induced ZONAB activation does not stimulate ZONAB's activity as a transcription factor but leads to the posttranscriptional up-regulation of p21 protein and mRNA. Up-regulation is mediated by ZONAB binding to specific sites in the 3'-untranslated region of the p21 mRNA, resulting in mRNA stabilization and enhanced translation.",22711822,2019-12-26T14:11:02Z
Ybx3,translational regulation,"Stress-induced ZONAB activation does not stimulate ZONAB's activity as a transcription factor but leads to the posttranscriptional up-regulation of p21 protein and mRNA. Up-regulation is mediated by ZONAB binding to specific sites in the 3'-untranslated region of the p21 mRNA, resulting in mRNA stabilization and enhanced translation.",22711822,2019-12-26T14:11:05Z
Ybx3,mRNA stability,"Stress-induced ZONAB activation does not stimulate ZONAB's activity as a transcription factor but leads to the posttranscriptional up-regulation of p21 protein and mRNA. Up-regulation is mediated by ZONAB binding to specific sites in the 3'-untranslated region of the p21 mRNA, resulting in mRNA stabilization and enhanced translation.",22711822,2019-12-26T14:11:08Z
Cirbp,Stress response,"This combination with 18S rRNA not only indicates CIRP’s potential regulatory role in the translation process, but also veriﬁes that the CIRP recruited by SGs is partly via RNA-binding activities. The second category of CIRP targets is speciﬁc transcripts of certain stress-responsive genes. For instance, CIRP speciﬁcally binds to the 3'-UTR of thioredoxin (TRX), replication protein A2 (RPA2), ferritin and nucleophosmin. TRX and RPA2 are both linked to increased survival from stresses. The third category targets of CIRP are transcripts that encode ribosomal proteins including L5, L10, L13, L19, S6 and S13. It is reported that L5 involves in a variety of cellular stresses resistance58; L10, L19 and S13 are related to oxidative stress response; L13 is considered a mediator for stress activation of the sigma (B) transcription factor of Bacillus subtilis; and S6 is cold stress induced.61 Taken together, these ﬁndings suggest that stressinduced expression of CIRP participates in post-transcriptional regulation, involving the formation of the SGs",28608439,2019-12-26T14:27:08Z
Cirbp,mRNA sequestration,"This combination with 18S rRNA not only indicates CIRP’s potential regulatory role in the translation process, but also veriﬁes that the CIRP recruited by SGs is partly via RNA-binding activities. The second category of CIRP targets is speciﬁc transcripts of certain stress-responsive genes. For instance, CIRP speciﬁcally binds to the 3'-UTR of thioredoxin (TRX), replication protein A2 (RPA2), ferritin and nucleophosmin. TRX and RPA2 are both linked to increased survival from stresses. The third category targets of CIRP are transcripts that encode ribosomal proteins including L5, L10, L13, L19, S6 and S13. It is reported that L5 involves in a variety of cellular stresses resistance58; L10, L19 and S13 are related to oxidative stress response; L13 is considered a mediator for stress activation of the sigma (B) transcription factor of Bacillus subtilis; and S6 is cold stress induced.61 Taken together, these ﬁndings suggest that stressinduced expression of CIRP participates in post-transcriptional regulation, involving the formation of the SGs",28608439,2019-12-26T14:27:14Z
Cirbp,translational regulation,"This combination with 18S rRNA not only indicates CIRP’s potential regulatory role in the translation process, but also veriﬁes that the CIRP recruited by SGs is partly via RNA-binding activities. The second category of CIRP targets is speciﬁc transcripts of certain stress-responsive genes. For instance, CIRP speciﬁcally binds to the 3'-UTR of thioredoxin (TRX), replication protein A2 (RPA2), ferritin and nucleophosmin. TRX and RPA2 are both linked to increased survival from stresses. The third category targets of CIRP are transcripts that encode ribosomal proteins including L5, L10, L13, L19, S6 and S13. It is reported that L5 involves in a variety of cellular stresses resistance58; L10, L19 and S13 are related to oxidative stress response; L13 is considered a mediator for stress activation of the sigma (B) transcription factor of Bacillus subtilis; and S6 is cold stress induced.61 Taken together, these ﬁndings suggest that stressinduced expression of CIRP participates in post-transcriptional regulation, involving the formation of the SGs",28608439,2019-12-26T14:27:20Z
Cirbp,mRNA stability,"Our data suggest that CIRP may be crucial to maintain high telomerase activities in testis stem cells, counteracting potential problems in TERT mRNA stability, and telomerase assembly and function at low temperatures.",26673712,2019-12-26T14:46:45Z
Igf2bp1,translational regulation,"Here we show that chicken ZBP1 modulates the translation of β-actin mRNA. ZBP1 associates with the β-actin transcript in the nucleus and prevents premature translation in the cytoplasm by blocking translation initiation. Translation only occurs when the ZBP1–RNA complex reaches its destination at the periphery of the cell. At the endpoint of mRNA transport, the protein kinase Src promotes translation by phosphorylating a key tyrosine residue in ZBP1 that is required for binding to RNA.",16306994,2020-01-06T13:22:50Z
Igf2bp1,mRNA transport,Neurotrophin regulation of actin-dependent changes in growth cone motility may depend on the signaling of beta-actin mRNA transport. Formation of an RNP complex between the beta-actin mRNA zipcode sequence and Zipcode Binding Protein 1 (ZBP1) was required for its localization to growth cones.,11502257,2020-01-06T13:26:13Z
Igf2bp1,mRNA stability,RNA-binding protein IGF2BP1 (IGF-II mRNA binding protein 1) stabilizes the c-myc RNA by associating with the Coding Region instability Determinant (CRD),19029303,2020-01-06T13:33:03Z
Igf2bp1,mRNA stability,RNA-binding protein IGF2BP1 (IGF-II mRNA binding protein 1) stabilizes the c-myc RNA by associating with the Coding Region instability Determinant (CRD),19029303,2020-01-06T13:40:13Z
Igf2bp1,mRNA sequestration,"not verified; In contrast, RNA-binding proteins like IGF2BP1 or HUR, which are dispensable for SG-assembly, are stably associated with SGs and the IGF2BP1/HUR-G3BP1 association is increased during stress.",25488811,2020-01-06T13:43:57Z
Khsrp,mRNA degradation,"Here, we demonstrate that KSRP, a KH domain-containing ARE-BP, is an essential factor for ARE-directed mRNA decay. Some of the KH motifs (KHs) of KSRP directly mediate RNA binding, mRNA decay, and interactions with the exosome and poly(A) ribonuclease (PARN). The ability of KHs to promote mRNA decay correlates with their ability to bind the ARE and associate with RNA-degrading enzymes. Thus, KHs promote rapid mRNA decay by recruiting degradation machinery to ARE-containing mRNAs.",15175153,2020-01-06T13:48:03Z
Khsrp,mRNA degradation,These results support a model that KSRP recruits mRNA decay machinery/factors to elicit decay. The ability of tethered KSRP to elicit mRNA decay depends on functions of known mRNA decay enzymes.,16648466,2020-01-06T13:49:01Z
Khsrp,mRNA sequestration,not verified,NA,2020-01-06T16:14:10Z
Khsrp,mRNA processing,not verified,NA,2020-01-06T16:14:15Z
Khsrp,mRNA transport,not verified,NA,2020-01-06T16:14:23Z
Khsrp,mRNA stability,not verified,NA,2020-01-06T16:14:30Z
Upf1,mRNA degradation,"The central component of the NMD pathway in all organisms studied is the protein UPF1/SMG2, an ATP-dependent RNA helicase of the SF1 superfamily, which undergoes cycles of phosphorylation and dephosphorylation that are essential for NMD progression.",26773057,2020-01-06T16:38:22Z
Upf1,Stress response,"not verified; seems that stress response involve modification of UPF1 to prevent NMD, but UPF1 is not directly involved in stress response",NA,2020-01-06T16:44:09Z
Upf1,mRNA transport,not verified,NA,2020-01-06T16:45:50Z
Hnrnpd,mRNA degradation,These results demonstrate a specific cytoplasmic function for hnRNP D as an RNA-destabilizing protein in ARE-mediated decay pathway.,10421639,2020-01-06T16:52:35Z
Hnrnpd,translational regulation,"Second, AUF1 does not change the abundance of many target RNAs, but ribosome profiling reveals that AUF1 promotes the translation of numerous mRNAs in this group",25366541,2020-01-06T17:02:50Z
Hnrnpd,mRNA stability,not verified,,2020-01-06T17:22:21Z
Hnrnpd,translational regulation,An earlier report showed that AUF1 promoted the translation of MYC mRNA by displacing the translational repressor TIAR,25366541,2020-01-06T17:26:50Z
Hnrnpd,pre-mRNA Transport and processing,"Integration of AUF1 PAR-CLIP with differential RNA expression profile using RNA-Seq indicated that AUF1 binding, which was most frequently observed at intron sites, was associated with the exclusion and inclusion of different introns (Supplementary Fig. 3c). In earlier global studies, AUF1 was shown to associate with pre-mRNA25,48, but to our knowledge this is the first indication that AUF1 could modulate alternative splicing. Studies are underway to investigate this function in depth.",25366541,2020-01-06T17:28:49Z
Hnrnpd,Stress response,not verified,,2020-01-06T17:29:01Z
